# Grammar repo health for every parser in nvim-treesitter parsers.lua.
# Collected 2026-08-10 via: gh api repos/<slug>
# days_since_push is clamped at 0; see ROADMAP.md section 3.
parser	slug	days_since_push	stars	open_issues	archived
cooklang	addcninblue/tree-sitter-cooklang	828	8	1	false
cairo	tree-sitter-grammars/tree-sitter-cairo	834	3	1	false
fsh	mgramigna/tree-sitter-fsh	834	3	0	false
func	tree-sitter-grammars/tree-sitter-func	834	6	1	false
mermaid	monaqa/tree-sitter-mermaid	839	46	4	false
capnp	tree-sitter-grammars/tree-sitter-capnp	841	5	2	false
cpon	tree-sitter-grammars/tree-sitter-cpon	841	1	3	false
firrtl	tree-sitter-grammars/tree-sitter-firrtl	841	1	0	false
po	tree-sitter-grammars/tree-sitter-po	841	6	2	false
pony	tree-sitter-grammars/tree-sitter-pony	841	8	1	false
thrift	tree-sitter-grammars/tree-sitter-thrift	841	8	3	false
gstlaunch	tree-sitter-grammars/tree-sitter-gstlaunch	855	1	0	false
rnoweb	bamonroe/tree-sitter-rnoweb	878	1	2	false
fidl	google/tree-sitter-fidl	894	4	0	false
wgsl	szebniok/tree-sitter-wgsl	911	61	9	false
todotxt	arnarg/tree-sitter-todotxt	937	19	0	false
disassembly	ColinKennedy/tree-sitter-disassembly	980	14	0	false
objdump	ColinKennedy/tree-sitter-objdump	991	13	2	false
linkerscript	tree-sitter-grammars/tree-sitter-linkerscript	994	11	2	false
kusto	Willem-J-an/tree-sitter-kusto	1007	3	0	false
eex	connorlay/tree-sitter-eex	1012	10	3	false
gn	tree-sitter-grammars/tree-sitter-gn	1022	7	2	false
nim_format_string	aMOPel/tree-sitter-nim-format-string	1023	3	0	false
haskell_persistent	MercuryTechnologies/tree-sitter-haskell-persistent	1055	4	1	false
nqc	tree-sitter-grammars/tree-sitter-nqc	1074	2	3	false
promql	MichaHoffmann/tree-sitter-promql	1092	11	0	false
prql	PRQL/tree-sitter-prql	1108	12	4	false
elvish	elves/tree-sitter-elvish	1119	15	2	false
menhir	Kerl13/tree-sitter-menhir	1119	8	1	false
elsa	glapa-grossklag/tree-sitter-elsa	1265	2	0	false
surface	connorlay/tree-sitter-surface	1267	19	3	false
ebnf	RubixDev/ebnf	1280	12	0	false
passwd	ath3/tree-sitter-passwd	1347	4	0	false
yang	Hubro/tree-sitter-yang	1357	3	0	false
hocon	antosha417/tree-sitter-hocon	1371	12	0	false
gowork	omertuc/tree-sitter-go-work	1405	17	0	false
sxhkdrc	RaafatTurki/tree-sitter-sxhkdrc	1439	2	0	false
scss	serenadeai/tree-sitter-scss	1469	33	14	false
gitignore	shunsambongi/tree-sitter-gitignore	1558	26	1	false
ninja	alemuller/tree-sitter-ninja	1675	6	0	false
hjson	winston0410/tree-sitter-hjson	1833	8	1	false
